fuel_type,in_state_generation_GWh,northwest_imports_GWh,southwest_imports_GWh,gross_system_power,percent_gross_system_power,year
Coal,27222,7488,24306,59016,21.3%,2003
Large Hydro,30889,12126,1911,44926,16.2%,2003
Natural Gas,92356,1911,7738,102005,36.9%,2003
Nuclear,35594,778,5553,41925,15.2%,2003
Renewables,28740,0,0,28740,10.4%,2003
Biomass,5574,,,5574,2.0%,2003
Geothermal,13771,,,13771,5.0%,2003
Small Hydro,5146,,,5146,1.9%,2003
Solar,758,,,758,0.3%,2003
Wind,3491,,,3491,1.3%,2003
Other,0,,,0,0.0%,2003
