year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2016,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,294817,294817
2016,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,45393,45393
2016,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,15248,15248
2016,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,48993,48993
2016,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,286428,286428
2016,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,11.6,13935,13935
2016,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.2,39180,39180
2016,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,314587,314587
2016,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1563,1563
2016,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2720,2720
2016,Foundation Windpower,57792,W0397,IEUA,CA,1.0,600,600
2016,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2348,2348
2016,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1572,1572
2016,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,2036,2036
2016,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,9793,9793
2016,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,13774,13774
2016,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3368,3368
2016,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2932,2932
2016,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1425,1425
2016,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,3937,3937
2016,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.3,59013,59013
2016,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,64185,64185
2016,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,212379,212379
2016,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,386097,386097
2016,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,141733,141733
2016,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,7.2,11859,11859
2016,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,5.4,6475,6475
2016,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,287408,287408
2016,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.4,22381,22381
2016,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,178507,178507
