year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2018,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,277077,277077
2018,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,37700,37700
2018,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,14337,14337
2018,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,48422,48422
2018,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,282009,282009
2018,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,8.0,8793,8793
2018,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.2,40322,40322
2018,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,440887,440887
2018,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1921,1921
2018,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2662,2662
2018,Foundation Windpower,57792,W0397,IEUA,CA,1.0,395,395
2018,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2582,2582
2018,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1649,1649
2018,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,1363,1363
2018,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,9589,9589
2018,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,13165,13165
2018,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3294,3294
2018,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2939,2939
2018,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1597,1597
2018,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,3511,3511
2018,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.3,64439,64439
2018,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,59211,59211
2018,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,211632,211632
2018,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,387676,387676
2018,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,146855,146855
2018,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,6.5,6996,6996
2018,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,4.2,1398,1398
2018,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,258503,258503
2018,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.4,9474,9474
2018,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,291923,285189
2018,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,5055,5055
2018,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.6,120863,120863
2018,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,100413,100413
2018,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,225977,225977
2018,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,210358,210358
2018,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,78597,78597
2018,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,162.0,459333,459333
2018,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,113364,113364
2018,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,8248,8248
2018,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.7,8494,8494
2018,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,5464,5464
2018,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.3,9991,9991
2018,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,15643,15643
2018,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,18640,18640
2018,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,69.8,120275,120275
2018,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,29014,29014
2018,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,16.9,21947,21947
2018,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.3,7371,7371
2018,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,29908,29908
2018,Not Available,Missing,W0465,Scheid Vineyards,CA,1.9,3812,3812
2018,Not Available,61066,W0466,CDCR-LAC,CA,1.9,4268,4268
2018,Not Available,61582,W0471,Voyager Wind II LLC,CA,128.7,12868,12868
2018,Not Available,61583,W0472,Voyager Wind III LLC,CA,43.2,1098,1098
2018,Not Available,61584,W0473,Voyager Wind IV LLC,CA,21.6,1572,1572
2018,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,185966,185966
2018,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,575314,575314
2018,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,46.9,137760,137760
2018,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.5,45134,45134
2018,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,30.9,90534,90534
2018,San Gorgornio Farms Inc,10718,W0286,Karen Avenue Wind Farm,CA,11.7,31626,31626
2018,Seawest Energy Group,54258,W0277,Phoenix Wind (Section 20 Trust),CA,2.1,0,0
2018,Seawest Energy Group,50820,W0278,East Winds Project (NAWP Inc),CA,3.0,7425,7425
2018,Seawest Energy Group,40485,W0292,Altech III (NAWP Inc. - 6087),CA,18.2,9160,9160
2018,Seawest Energy Group,57302,W0299,Green Power I (Dutch Energy Corp),CA,16.2,14790,14790
2018,Seawest Energy Group,56075,W0355,High Winds,CA,162.0,345306,345306
2018,Seawest Energy Group,58092,W0356,Solano Wind 3 (SMUD Solano Phase 1),CA,127.8,353150,353150
2018,See WPRS for details,Missing,W0259,Mogul Energy,CA,4.0,0,0
2018,See WPRS for details,50386,W0262,Windland Inc Boxcar I,CA,7.5,14376,14376
2018,See WPRS for details,Missing,W0301,Windland Inc Boxcar II,CA,7.8,16044,16044
2018,See WPRS for details,50754,W0319,Oak Creek Wind Power,CA,31.5,65001,65001
2018,See WPRS for details,10586,W0360,Mountain View III,CA,22.4,68975,68975
2018,See WPRS for details,54686,W0374,Difwind Farms Ltd VI,CA,22.3,34847,34847
2018,See WPRS for details,54453,W0380,EDF Renewable Windfarm V Inc (ENXCO V),CA,15.5,3484,3484
2018,See WPRS for details,Missing,W0390,Golden Acorn Casino,CA,1.0,4114,4114
2018,See WPRS for details,Missing,W0413,WAGNER WIND LLC,CA,6.0,13776,13776
2018,See WPRS for details,Missing,W0420,Manzana Wind,CA,189.0,514106,514106
2018,See WPRS for details,Missing,W0421,Shiloh III Wind Project LLC,CA,102.5,284463,284463
2018,See WPRS for details,Missing,W0422,Shiloh IV Wind Project LLC,CA,102.5,299995,299995
2018,See WPRS for details,Missing,W0426,Buena Vista Energy LLC,CA,38.0,98291,98291
2018,See WPRS for details,Missing,W0430,Mountain View IV,CA,49.0,171877,171877
2018,See WPRS for details,Missing,W0437,Wintec Energy #2-A,CA,1.3,3208,3208
2018,See WPRS for details,59236,W0438,Rising Tree Wind Farm III,CA,99.0,354027,354027
2018,See WPRS for details,Missing,W0439,Dutch Energy Wind Farm,CA,9.5,20936,20936
2018,See WPRS for details,Missing,W0440,Garnet Wind Energy Center,CA,6.5,15906,15906
2018,See WPRS for details,Missing,W0441,Alta X Wind Energy Center,CA,136.8,366674,366674
