,energy_mix_GWh,fuel_type,gross_system_power,in_state_generation_GWh,northwest_imports_GWh,percent_generation,percent_gross_system_power,power_mix,southwest_imports_GWh,year
0,,Coal,54483.0,27618,5283.0,,20.0%,,21582.0,2002
1,,Large Hydro,48200.0,26937,19304.0,,17.7%,,1959.0,2002
2,,Natural Gas,99480.0,90898,1717.0,,36.5%,,6865.0,2002
3,,Nuclear,40502.0,34353,882.0,,14.9%,,5267.0,2002
4,,Renewables,29879.0,29879,0.0,,11.0%,,0.0,2002
5,,Biomass,7140.0,7140,,,2.6%,,,2002
6,,Geothermal,13946.0,13946,,,5.1%,,,2002
7,,Small Hydro,4382.0,4382,,,1.6%,,,2002
8,,Solar,864.0,864,,,0.3%,,,2002
9,,Wind,3546.0,3546,,,1.3%,,,2002
10,,Other,0.0,0,,,0.0%,,,2002
11,,Coal,59016.0,27222,7488.0,,21.3%,,24306.0,2003
12,,Large Hydro,44926.0,30889,12126.0,,16.2%,,1911.0,2003
13,,Natural Gas,102005.0,92356,1911.0,,36.9%,,7738.0,2003
14,,Nuclear,41925.0,35594,778.0,,15.2%,,5553.0,2003
15,,Renewables,28740.0,28740,0.0,,10.4%,,0.0,2003
16,,Biomass,5574.0,5574,,,2.0%,,,2003
17,,Geothermal,13771.0,13771,,,5.0%,,,2003
18,,Small Hydro,5146.0,5146,,,1.9%,,,2003
19,,Solar,758.0,758,,,0.3%,,,2003
20,,Wind,3491.0,3491,,,1.3%,,,2003
21,,Other,0.0,0,,,0.0%,,,2003
22,,Coal,61651.0,28589,6161.0,,21.3%,,26901.0,2004
23,,Large Hydro,43003.0,29703,11428.0,,14.9%,,1872.0,2004
24,,Natural Gas,118164.0,104977,2302.0,,40.8%,,10885.0,2004
25,,Nuclear,36970.0,30241,940.0,,12.8%,,5789.0,2004
26,,Renewables,29571.0,29571,0.0,,10.2%,,0.0,2004
27,,Biomass,5903.0,5903,,,2.0%,,,2004
28,,Geothermal,14000.0,14000,,,4.8%,,,2004
29,,Small Hydro,4669.0,4669,,,1.6%,,,2004
30,,Solar,741.0,741,,,0.3%,,,2004
31,,Wind,4258.0,4258,,,1.5%,,,2004
32,,Other,0.0,0,,,0.0%,,,2004
33,,Coal 2,57851.0,28129,4926.0,,20.1%,,24796.0,2005
34,,Large Hydro,49084.0,34500,12883.0,,17.0%,,1701.0,2005
35,,Natural Gas,108686.0,96088,1786.0,,37.7%,,10812.0,2005
