,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
0,2003,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,1571.0,3315600,3315600
1,2004,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2064.0,4257820,4257820
2,2005,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2089.2,4084050,4084050
3,2006,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2310.2,4901530,4901530
4,2007,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2373.2,5569730,5569730
5,2008,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2462.2,5724000,5724000
6,2009,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,120.0,101840,101840
7,2009,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,2608.4,6146750,6146750
8,2010,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,120.0,306386,306386
9,2010,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,3062.9,5865290,5865290
10,2011,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,293056,286156
11,2011,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,3857.0,7312230,7312230
12,2012,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,281708,281708
13,2012,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,4831.9,8960490,8960490
14,2013,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,258555,258555
15,2013,Not Available,Missing,W9999,CAISO In-State Wind Generation,CA,5650.2,11705700,11705700
16,2014,Aero Energy LLC,57774,W0285,Windridge Project (Retired 5/31/2015),CA,2.2,96,96
17,2014,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,282719,282719
18,2014,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,46637,46637
19,2014,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,13895,13895
20,2014,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,46726,46726
21,2014,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,280834,280834
22,2014,Coram Energy Group Ltd,54298300,W0294,CTV Management Group - 6089 - Merged with W0263 - 12/31/2015,CA,4.5,10849,10849
23,2014,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,11.6,18202,18202
24,2014,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.4,40024,40024
25,2014,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,304038,304038
26,2014,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1830,1830
27,2014,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2235,2235
28,2014,Foundation Windpower,57792,W0397,IEUA,CA,1.0,387,387
29,2014,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2620,2620
30,2014,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1538,1538
31,2014,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,1760,1760
32,2014,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,8856,8856
33,2014,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,14021,14021
34,2014,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3483,3483
35,2014,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2682,2682
36,2014,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1602,1602
37,2014,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,74,74
38,2014,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.4,72601,72601
39,2014,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,59670,59670
40,2014,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,211359,211359
41,2014,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,397313,397313
42,2014,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,138754,138754
43,2014,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,7.2,13259,13259
44,2014,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,5.4,6875,6875
45,2014,Green Ridge Service LLC,Missing,W0336,Altamont Infrastructure Company - 01W144 - Retired 11/1/2015,CA,29.7,22794,22794
46,2014,Green Ridge Service LLC,Missing,W0348,Flowind 3-4 - Retired 10/31/2015,CA,5.0,7951,7951
47,2014,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,295513,295513
48,2014,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.6,24132,24132
49,2014,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,285814,285814
50,2014,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,5030,5030
51,2014,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.1,115492,115492
52,2014,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,88037,88037
53,2014,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,210151,210151
54,2014,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,238171,238171
55,2014,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,57868,57868
56,2014,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,160.0,451175,451175
57,2014,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,109664,109664
58,2014,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,8971,8971
59,2014,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.1,10668,10668
60,2014,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6127,6127
61,2014,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.4,9956,9956
62,2014,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,16498,16498
63,2014,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,21883,21883
64,2014,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,76.9,174457,174457
65,2014,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,37265,37265
66,2014,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,15.7,25927,25927
67,2014,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.6,7763,7763
68,2014,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,32333,32333
69,2014,Not Available,50534,W0331,Santa Clara 85C - Decommissioned 7/1/2016,CA,16.0,16410,16410
70,2014,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,158026,158026
71,2014,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,566598,566598
72,2014,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,47.0,145046,145046
73,2014,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.3,66230,66230
74,2014,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,31.0,72754,72754
