County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
ALAMEDA,Non-Residential,8043.123474,7891.021676,7357.909168,7422.865469,7647.457064,7601.906546,7964.101144,7706.530425,7348.677752,8187.679756,8770.552032,8067.962419,8044.391442,7776.455865,7665.089562
ALAMEDA,Residential,3069.531949,2923.672818,2899.423542,2895.491569,2987.473944,3000.871672,3025.99183,3022.056087,3016.614983,2996.156961,2971.616958,3118.38275,3025.561684,2898.154798,2937.329874
ALAMEDA,Total,11112.65542,10814.6945,10257.33271,10318.35704,10634.93101,10602.77822,10990.09298,10728.58651,10365.29274,11183.83672,11742.16899,11186.34517,11069.95313,10674.61066,10602.41944
ALPINE,Non-Residential,8.997869,8.124741,4.354396,4.008389,4.752038,4.590161,5.199864,5.203784,5.234789,9.368614,10.685739,9.377073,9.132023,9.431229,5.112883
ALPINE,Residential,10.023186,9.290913,11.855504,11.974975,13.424431,9.298178,9.093424,12.451971,13.029405,8.899778,9.326645,9.537211,8.090874,8.996372,6.352394
ALPINE,Total,19.021055,17.415654,16.2099,15.983364,18.176468,13.888339,14.293288,17.655755,18.264193,18.268392,20.012384,18.914285,17.222897,18.427601,11.465277
AMADOR,Non-Residential,168.012478,173.832142,152.643553,154.793331,170.867308,180.777774,169.979564,175.75143,184.051066,188.044147,179.985237,165.207077,160.639866,165.145971,142.213818
AMADOR,Residential,147.459991,135.803182,132.980232,134.805266,139.516716,141.039818,140.24162,139.982404,142.94773,144.135365,142.626229,142.579005,134.486227,135.731053,129.232694
AMADOR,Total,315.472468,309.635323,285.623785,289.598598,310.384025,321.817592,310.221184,315.733834,326.998796,332.179512,322.611466,307.786082,295.126093,300.877024,271.446512
BUTTE,Non-Residential,762.078166,760.806386,780.488761,770.622394,773.447012,768.594002,713.419067,707.453703,724.516621,746.736926,800.564412,719.683097,672.357872,688.024349,665.800743
BUTTE,Residential,782.961288,725.718157,716.501321,721.286274,730.982498,739.536468,726.302478,719.403746,731.892206,724.065281,715.052735,708.685816,686.092268,689.915946,658.820517
BUTTE,Total,1545.039454,1486.524542,1496.990082,1491.908668,1504.42951,1508.13047,1439.721545,1426.857449,1456.408827,1470.802207,1515.617147,1428.368912,1358.45014,1377.940296,1324.621261
CALAVERAS,Non-Residential,131.942501,117.148249,119.382018,126.0359,125.859211,124.029168,124.456822,116.893714,121.260187,119.359437,122.330582,123.266048,119.895649,99.087106,94.780181
CALAVERAS,Residential,220.373828,198.752467,191.705184,192.867729,200.018332,201.710548,200.629843,198.068763,202.050995,200.684529,199.904684,195.080656,187.987183,189.278127,177.277281
CALAVERAS,Total,352.31633,315.900716,311.087202,318.903628,325.877542,325.739716,325.086665,314.962477,323.311182,320.043966,322.235265,318.346704,307.882832,288.365233,272.057463
COLUSA,Non-Residential,225.837176,234.227066,244.513369,240.570148,234.065914,213.971475,206.44652,193.040212,200.037944,193.0744,186.483865,183.224933,184.719636,175.42303,163.501641
COLUSA,Residential,70.206857,64.983202,64.437041,64.870282,64.849594,65.669299,64.39806,63.431713,65.593007,64.254493,64.189496,65.001533,63.477249,59.635552,58.228832
COLUSA,Total,296.044033,299.210268,308.950409,305.44043,298.915508,279.640774,270.84458,256.471925,265.630951,257.328894,250.673361,248.226466,248.196885,235.058583,221.730473
CONTRA COSTA,Non-Residential,6808.835114,6879.130774,6776.01114,6864.617995,6400.845658,6324.077383,6350.149214,6380.867319,6305.439747,6567.125112,5855.00677,5928.926073,5838.549807,5885.971333,5705.085899
