Fuel Type,P Values,Coefficient
Intercept,0.9714501028509662,9395.833003924228
Coal,0.12425970184008861,4102.4666666666635
Geothermal,0.009566144092371654,6963.599999999993
Large Hydro,3.51940519861521e-13,21079.866666666596
Natural Gas,4.365885603220129e-82,102040.59999999995
Nuclear,1.875004764626497e-14,22414.799999999985
Oil,0.06505928113455774,-5973.663618460121
Other,0.031122450355014368,-5993.165532104658
Renewables,2.908909034378512e-21,29208.79999999999
Small Hydro,0.5586578770574354,-1555.8666666666684
Solar,0.5067416444826152,-1766.5333333333142
Wind,0.5877660272000025,1442.0000000000032
Year,0.9897747515673959,-1.6746804399995199
